C-O Distance,force_diff_CI,n_structs_in_CI,relative_free_energy_CI,
2.92,0.563219458,172,1.00166549,
2.93,0.586147751,170,0.995918654,
2.94,0.60629858,169,0.989956423,
2.95,0.621367237,165,0.983818094,
2.96,0.644663976,164,0.977487938,
2.97,0.654081409,163,0.970994211,
2.98,0.647486948,160,0.964486369,
2.99,0.658812311,159,0.957954873,
3,0.650545301,158,0.951408084,
3.01,0.653534591,155,0.944887685,
3.02,0.639388487,156,0.93842307,
3.03,0.632151516,151,0.93206537,
3.04,0.603483496,151,0.925887195,
3.05,0.616470245,160,0.919787426,
3.06,0.634017797,164,0.913534986,
3.07,0.722316693,178,0.906753313,
3.08,0.764120496,187,0.899321127,
3.09,0.773684339,189,0.891632103,
3.1,0.786916831,193,0.883829097,
3.11,0.791498886,201,0.875937019,
3.12,0.798444505,206,0.867987302,
3.13,0.794746508,209,0.860021347,
3.14,0.801901774,212,0.852038105,
3.15,0.791337361,207,0.844071909,
3.16,0.754474495,203,0.83634285,
3.17,0.680565886,192,0.829167648,
3.18,0.636793159,189,0.822580853,
3.19,0.607803495,187,0.81635787,
3.2,0.580711541,185,0.810415295,
3.21,0.56329738,182,0.80469525,
3.22,0.536907569,178,0.799194225,
3.23,0.50998459,178,0.793959764,
3.24,0.479685015,178,0.789011416,
3.25,0.442538261,176,0.7844003,
3.26,0.410658422,176,0.780134317,
3.27,0.38778929,177,0.776142078,
3.28,0.356648653,175,0.772419888,
3.29,0.315248709,174,0.769060402,
3.3,0.382407092,187,0.765572123,
3.31,0.467021002,202,0.761324982,
3.32,0.50653584,219,0.756457198,
3.33,0.491525168,229,0.751466893,
3.34,0.450409092,242,0.746757222,
3.35,0.414282409,257,0.742433764,
3.36,0.419225506,262,0.738266224,
3.37,0.43890812,274,0.733975556,
3.38,0.48069552,292,0.729377538,
3.39,0.513802361,305,0.724405049,
3.4,0.4868085,313,0.719401994,
3.41,0.442252077,318,0.714756692,
3.42,0.427344994,319,0.710408706,
3.43,0.44337155,324,0.706055123,
3.44,0.459918564,322,0.701538673,
3.45,0.485362843,320,0.696812266,
3.46,0.463773154,326,0.692066586,
3.47,0.45816516,332,0.687456894,
3.48,0.396009292,334,0.683186022,
3.49,0.339129414,337,0.679510329,
3.5,0.243347803,332,0.676597942,
3.51,0.170791924,355,0.674527244,
3.52,0.089707385,421,0.673224747,
3.53,0.046773146,452,0.672542345,
3.54,0.026102809,472,0.672177965,
3.55,-0.010245861,492,0.67209868,
3.56,-0.044338732,512,0.672371603,
